order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
1,53,746,224,2,cash,2017-03-13 12:36:56
2,92,925,90,1,cash,2017-03-03 17:38:52
3,44,861,144,1,cash,2017-03-14 4:23:56
4,18,935,156,1,credit_card,2017-03-26 12:43:37
5,18,883,156,1,credit_card,2017-03-01 4:35:11
6,58,882,138,1,credit_card,2017-03-14 15:25:01
7,87,915,149,1,cash,2017-03-01 21:37:57
8,22,761,292,2,cash,2017-03-08 2:05:38
9,64,914,266,2,debit,2017-03-17 20:56:50
10,52,788,146,1,credit_card,2017-03-30 21:08:26
11,66,848,322,2,credit_card,2017-03-26 23:36:40
12,40,983,322,2,debit,2017-03-12 17:58:30
13,54,799,266,2,credit_card,2017-03-16 14:15:34
14,100,709,111,1,cash,2017-03-22 2:39:49
15,87,849,447,3,credit_card,2017-03-10 11:23:18
16,42,607,704000,2000,credit_card,2017-03-07 4:00:00
17,17,731,176,1,cash,2017-03-21 4:23:38
18,28,752,164,1,credit_card,2017-03-21 12:09:07
19,83,761,258,2,cash,2017-03-17 13:18:47
20,63,898,408,3,credit_card,2017-03-29 15:11:52
21,66,987,322,2,cash,2017-03-30 20:11:59
22,97,789,486,3,credit_card,2017-03-04 15:44:00
23,88,985,704,4,credit_card,2017-03-22 1:19:41
24,75,964,256,2,credit_card,2017-03-12 3:07:42
25,73,917,495,3,cash,2017-03-03 13:01:03
26,82,848,177,1,cash,2017-03-25 21:35:12
27,47,882,145,1,cash,2017-03-22 7:38:43
28,53,942,112,1,credit_card,2017-03-17 9:41:53
29,40,944,322,2,cash,2017-03-05 2:12:53
30,59,790,178,1,credit_card,2017-03-04 22:49:28
31,76,857,310,2,cash,2017-03-23 21:34:39
32,57,839,294,2,debit,2017-03-19 5:31:45
33,76,712,465,3,credit_card,2017-03-10 23:54:10
34,7,800,224,2,credit_card,2017-03-03 5:31:15
35,34,704,244,2,debit,2017-03-13 0:00:44
36,61,781,316,2,cash,2017-03-08 15:57:42
37,84,979,459,3,credit_card,2017-03-05 22:44:34
38,66,961,322,2,credit_card,2017-03-14 6:04:23
39,10,921,148,1,credit_card,2017-03-06 5:51:08
40,61,756,316,2,credit_card,2017-03-07 17:03:29
41,42,793,352,1,credit_card,2017-03-24 14:15:41
42,1,847,316,2,debit,2017-03-20 14:58:02
43,18,934,624,4,debit,2017-03-21 6:59:10
44,21,792,284,2,credit_card,2017-03-08 4:16:53
45,99,759,195,1,credit_card,2017-03-02 8:13:24
46,29,969,652,4,credit_card,2017-03-04 8:58:23
47,33,954,346,2,cash,2017-03-25 14:18:33
48,52,791,438,3,cash,2017-03-05 15:50:51
49,3,714,296,2,debit,2017-03-20 16:48:03
50,64,768,399,3,debit,2017-03-02 17:26:07
51,58,984,276,2,debit,2017-03-23 7:05:31
52,81,959,531,3,cash,2017-03-25 22:58:11
53,30,968,459,3,cash,2017-03-28 8:15:20
54,33,842,692,4,debit,2017-03-08 7:36:34
55,79,823,181,1,cash,2017-03-25 4:47:17
56,51,851,561,3,credit_card,2017-03-13 5:05:25
57,53,739,560,5,credit_card,2017-03-18 8:45:21
58,51,759,187,1,cash,2017-03-30 22:34:47
59,47,837,145,1,credit_card,2017-03-13 6:35:07
60,80,908,145,1,debit,2017-03-27 9:03:35
61,42,607,704000,2000,credit_card,2017-03-04 4:00:00
62,60,720,531,3,debit,2017-03-21 18:08:34
63,86,981,260,2,debit,2017-03-24 6:11:03
64,91,962,160,1,debit,2017-03-01 19:05:37
65,72,887,480,3,credit_card,2017-03-02 0:15:05
66,7,988,112,1,debit,2017-03-29 10:22:34
67,66,743,322,2,cash,2017-03-01 10:40:40
